growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.85,2903.955,0.0031729832,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1709.2594,0.0025041413,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.53782624,2247.1902,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.35178006,2394.4033,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.34713534,2548.5352,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2375.3604,0.002651045,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2451.3503,0.008331327,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.6955043,2459.9714,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,3189.014,0.015854439,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.70559657,1352.5525,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.28799573,1501.084,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.7023415,2032.7579,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.36064652,2504.7942,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.29430005,2045.9052,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.6984149,1466.3713,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.702663,2580.9053,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.5981775,3044.9514,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2861.179,0.010321951,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.29442906,2021.0454,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1797.1151,0.0042581586,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2908.6675,0.006527694,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.8166726,1915.2244,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.19693072,2403.004,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1884.5096,0.012847394,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.8193855,1891.6337,0.010843085,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.61451983,1587.5251,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2997.4548,0.013144352,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.6155533,1594.0249,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.23317252,2640.6943,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2471.459,0.008497353,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2944.2542,0.0058126226,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.69484353,1624.9381,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.4715375,1897.0375,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2081.3794,0.0020357294,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.71452427,2521.4,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.3855214,2733.4844,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.56914544,2008.8452,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.22135575,2284.2703,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.41602713,2846.9866,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1909.6011,0.014180677,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.70032626,1755.6671,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.7871537,2473.3833,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2840.5176,0.011930666,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.25695524,1280.4641,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2088.2908,0.0034439482,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.468556,2271.4539,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2568.7366,0.0018196704,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2384.945,0.015031699,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.44875517,1949.3026,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.16528945,2309.9272,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.0,1015.38446,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.0,1156.7668,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,3408.0486,0.0005361923,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.0,1155.7607,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.0,1315.3004,0.051674075,100,50,15,0.85,2210.8624803400003,0.021073837077251217
