growth_rate,production,is_pareto,n_batch,n_start,n_candidates,init_growth_rate,init_production
0.85,0.007658439,False,100,50,15,0.85,0.021073837077251217
0.85,0.007886182,False,100,50,15,0.85,0.021073837077251217
0.85,0.0126402555,False,100,50,15,0.85,0.021073837077251217
0.79868484,0.0,False,100,50,15,0.85,0.021073837077251217
0.8406016,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.00094184093,False,100,50,15,0.85,0.021073837077251217
0.85,0.0020079787,False,100,50,15,0.85,0.021073837077251217
0.6261597,0.0,False,100,50,15,0.85,0.021073837077251217
0.44265544,0.0,False,100,50,15,0.85,0.021073837077251217
0.11170074,0.0,False,100,50,15,0.85,0.021073837077251217
0.5882097,0.0,False,100,50,15,0.85,0.021073837077251217
0.15588968,0.0,False,100,50,15,0.85,0.021073837077251217
0.5071551,0.0,False,100,50,15,0.85,0.021073837077251217
0.42593613,0.0,False,100,50,15,0.85,0.021073837077251217
0.48132747,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.0046890113,False,100,50,15,0.85,0.021073837077251217
0.85,0.0157283,False,100,50,15,0.85,0.021073837077251217
0.5470568,0.0,False,100,50,15,0.85,0.021073837077251217
0.45242342,0.0,False,100,50,15,0.85,0.021073837077251217
0.39364612,0.0,False,100,50,15,0.85,0.021073837077251217
0.6499305,0.0,False,100,50,15,0.85,0.021073837077251217
0.7279058,0.0,False,100,50,15,0.85,0.021073837077251217
0.656816,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.0042501884,False,100,50,15,0.85,0.021073837077251217
0.85,0.0038327407,False,100,50,15,0.85,0.021073837077251217
0.85,0.014690624,False,100,50,15,0.85,0.021073837077251217
0.6142293,0.0,False,100,50,15,0.85,0.021073837077251217
0.4336987,0.018017678,False,100,50,15,0.85,0.021073837077251217
0.2972646,0.0,False,100,50,15,0.85,0.021073837077251217
0.24382824,0.0,False,100,50,15,0.85,0.021073837077251217
0.3629799,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.02007793,False,100,50,15,0.85,0.021073837077251217
0.6342381,0.0,False,100,50,15,0.85,0.021073837077251217
0.53519696,0.0,False,100,50,15,0.85,0.021073837077251217
0.29040715,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.006548197,False,100,50,15,0.85,0.021073837077251217
0.75141996,0.0,False,100,50,15,0.85,0.021073837077251217
0.25301683,0.0,False,100,50,15,0.85,0.021073837077251217
0.65443474,0.0,False,100,50,15,0.85,0.021073837077251217
0.47732434,0.0,False,100,50,15,0.85,0.021073837077251217
0.7057921,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.0005340581,False,100,50,15,0.85,0.021073837077251217
0.78414625,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.008287087,False,100,50,15,0.85,0.021073837077251217
0.77214235,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.00501038,False,100,50,15,0.85,0.021073837077251217
0.85,0.0034309563,False,100,50,15,0.85,0.021073837077251217
0.48881146,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.0010025632,False,100,50,15,0.85,0.021073837077251217
0.08084405,0.0,False,100,50,15,0.85,0.021073837077251217
0.0,0.05881573,False,100,50,15,0.85,0.021073837077251217
0.85,0.023454616,False,100,50,15,0.85,0.021073837077251217
0.85,0.02268009,False,100,50,15,0.85,0.021073837077251217
0.0,0.059195686,False,100,50,15,0.85,0.021073837077251217
0.85,0.024290105,False,100,50,15,0.85,0.021073837077251217
0.0,0.059493594,False,100,50,15,0.85,0.021073837077251217
2.2251151e-15,0.05759157,False,100,50,15,0.85,0.021073837077251217
0.85,0.013540594,False,100,50,15,0.85,0.021073837077251217
0.0,0.05956111,False,100,50,15,0.85,0.021073837077251217
0.85,0.024607956,False,100,50,15,0.85,0.021073837077251217
0.0,0.0,False,100,50,15,0.85,0.021073837077251217
0.85,0.02039725,False,100,50,15,0.85,0.021073837077251217
9.483145e-16,0.055317976,False,100,50,15,0.85,0.021073837077251217
0.85,0.022277568,False,100,50,15,0.85,0.021073837077251217
1.0594638e-13,0.05744557,False,100,50,15,0.85,0.021073837077251217
0.85,0.02530534,False,100,50,15,0.85,0.021073837077251217
0.0,0.06048092,False,100,50,15,0.85,0.021073837077251217
1.709213e-29,0.06380084,False,100,50,15,0.85,0.021073837077251217
0.0,0.0625034,False,100,50,15,0.85,0.021073837077251217
0.85,0.025127813,False,100,50,15,0.85,0.021073837077251217
0.85,0.026156621,False,100,50,15,0.85,0.021073837077251217
1.506843e-16,0.062435236,False,100,50,15,0.85,0.021073837077251217
0.0,0.057460207,False,100,50,15,0.85,0.021073837077251217
0.0,0.06280475,False,100,50,15,0.85,0.021073837077251217
0.85,0.025903102,False,100,50,15,0.85,0.021073837077251217
0.0,0.06281559,False,100,50,15,0.85,0.021073837077251217
0.0,0.06246785,False,100,50,15,0.85,0.021073837077251217
0.85,0.0263577,False,100,50,15,0.85,0.021073837077251217
0.85,0.018499915,False,100,50,15,0.85,0.021073837077251217
0.85,0.02300121,False,100,50,15,0.85,0.021073837077251217
0.85,0.026973186,False,100,50,15,0.85,0.021073837077251217
