growth_rate,cost,is_pareto,n_batch,n_start,n_candidates,init_growth_rate,init_cost
0.64561206,1951.4685,False,100,50,15,0.85,2210.8624803400003
0.85,1547.6418,False,100,50,15,0.85,2210.8624803400003
0.85,1833.4834,False,100,50,15,0.85,2210.8624803400003
0.85,3070.9883,False,100,50,15,0.85,2210.8624803400003
0.6081713,2201.7625,False,100,50,15,0.85,2210.8624803400003
0.85,3206.904,False,100,50,15,0.85,2210.8624803400003
0.58520734,1708.556,False,100,50,15,0.85,2210.8624803400003
0.6271397,2626.846,False,100,50,15,0.85,2210.8624803400003
0.85,2440.404,False,100,50,15,0.85,2210.8624803400003
0.5294176,2570.8333,False,100,50,15,0.85,2210.8624803400003
0.2203791,1745.6658,False,100,50,15,0.85,2210.8624803400003
0.62269384,2401.4604,False,100,50,15,0.85,2210.8624803400003
0.85,2472.2407,False,100,50,15,0.85,2210.8624803400003
0.85,2157.6877,False,100,50,15,0.85,2210.8624803400003
0.36076355,2593.5503,False,100,50,15,0.85,2210.8624803400003
0.85,2618.1216,False,100,50,15,0.85,2210.8624803400003
0.79882133,2332.037,False,100,50,15,0.85,2210.8624803400003
0.6629228,2177.2341,False,100,50,15,0.85,2210.8624803400003
0.85,2849.668,False,100,50,15,0.85,2210.8624803400003
0.69010687,1583.9712,False,100,50,15,0.85,2210.8624803400003
0.46977088,2602.1648,False,100,50,15,0.85,2210.8624803400003
0.85,2530.666,False,100,50,15,0.85,2210.8624803400003
0.51772946,1292.9769,False,100,50,15,0.85,2210.8624803400003
0.85,2267.2395,False,100,50,15,0.85,2210.8624803400003
0.48151296,2911.6538,False,100,50,15,0.85,2210.8624803400003
0.78550714,2542.327,False,100,50,15,0.85,2210.8624803400003
0.85,1330.7734,False,100,50,15,0.85,2210.8624803400003
0.44184268,2778.1155,False,100,50,15,0.85,2210.8624803400003
0.599784,2259.4414,False,100,50,15,0.85,2210.8624803400003
0.85,3106.3286,False,100,50,15,0.85,2210.8624803400003
0.26249197,2779.2437,False,100,50,15,0.85,2210.8624803400003
0.85,1052.5686,False,100,50,15,0.85,2210.8624803400003
0.7622732,2459.9043,False,100,50,15,0.85,2210.8624803400003
0.85,3271.2766,False,100,50,15,0.85,2210.8624803400003
0.85,2665.9246,False,100,50,15,0.85,2210.8624803400003
0.73193294,3191.7688,False,100,50,15,0.85,2210.8624803400003
0.3931891,2636.3892,False,100,50,15,0.85,2210.8624803400003
0.61856365,3386.4895,False,100,50,15,0.85,2210.8624803400003
0.55938584,2194.8225,False,100,50,15,0.85,2210.8624803400003
0.6468393,3113.5957,False,100,50,15,0.85,2210.8624803400003
0.643127,1397.828,False,100,50,15,0.85,2210.8624803400003
0.7392178,2253.9539,False,100,50,15,0.85,2210.8624803400003
0.585347,2333.846,False,100,50,15,0.85,2210.8624803400003
0.5594125,3062.7458,False,100,50,15,0.85,2210.8624803400003
0.75905454,2838.0308,False,100,50,15,0.85,2210.8624803400003
0.061758984,2430.5518,False,100,50,15,0.85,2210.8624803400003
0.29697868,2313.5203,False,100,50,15,0.85,2210.8624803400003
0.85,3185.0676,False,100,50,15,0.85,2210.8624803400003
0.85,1587.2524,False,100,50,15,0.85,2210.8624803400003
0.31136402,2734.4626,False,100,50,15,0.85,2210.8624803400003
0.0,464.35217,False,100,50,15,0.85,2210.8624803400003
0.0,58.84857,False,100,50,15,0.85,2210.8624803400003
0.0,55.993362,False,100,50,15,0.85,2210.8624803400003
0.0,758.3404,False,100,50,15,0.85,2210.8624803400003
0.0,60.07637,False,100,50,15,0.85,2210.8624803400003
0.0,623.72656,False,100,50,15,0.85,2210.8624803400003
0.0,738.28345,False,100,50,15,0.85,2210.8624803400003
0.0,63.265503,False,100,50,15,0.85,2210.8624803400003
4.056054e-30,326.48975,False,100,50,15,0.85,2210.8624803400003
0.0,611.7626,False,100,50,15,0.85,2210.8624803400003
0.81690896,1809.9268,False,100,50,15,0.85,2210.8624803400003
1.778369e-13,906.20953,False,100,50,15,0.85,2210.8624803400003
0.0,62.86541,False,100,50,15,0.85,2210.8624803400003
0.79360956,2327.3367,False,100,50,15,0.85,2210.8624803400003
0.85,1313.5857,False,100,50,15,0.85,2210.8624803400003
1.33935865e-14,254.50792,False,100,50,15,0.85,2210.8624803400003
0.0,398.68384,False,100,50,15,0.85,2210.8624803400003
0.0,352.26868,False,100,50,15,0.85,2210.8624803400003
0.0,7.764724,True,100,50,15,0.85,2210.8624803400003
0.85,3157.8706,False,100,50,15,0.85,2210.8624803400003
0.7687009,1500.979,False,100,50,15,0.85,2210.8624803400003
0.43180642,1293.5118,False,100,50,15,0.85,2210.8624803400003
0.0,1000.9409,False,100,50,15,0.85,2210.8624803400003
0.85,1633.3032,False,100,50,15,0.85,2210.8624803400003
0.6675082,1662.998,False,100,50,15,0.85,2210.8624803400003
0.85,2023.7705,False,100,50,15,0.85,2210.8624803400003
0.81952125,1029.2067,False,100,50,15,0.85,2210.8624803400003
0.5535235,1069.417,False,100,50,15,0.85,2210.8624803400003
0.4564687,856.30597,False,100,50,15,0.85,2210.8624803400003
0.5007438,1173.8663,False,100,50,15,0.85,2210.8624803400003
0.0,248.6424,False,100,50,15,0.85,2210.8624803400003
0.0,295.85535,False,100,50,15,0.85,2210.8624803400003
0.0,256.89368,False,100,50,15,0.85,2210.8624803400003
0.0,1031.3785,False,100,50,15,0.85,2210.8624803400003
0.0,1394.1237,False,100,50,15,0.85,2210.8624803400003
0.28575078,1003.0384,False,100,50,15,0.85,2210.8624803400003
0.6655759,1850.8066,False,100,50,15,0.85,2210.8624803400003
0.85,2269.3547,False,100,50,15,0.85,2210.8624803400003
0.85,1481.1649,False,100,50,15,0.85,2210.8624803400003
0.0,1368.9879,False,100,50,15,0.85,2210.8624803400003
0.85,1213.5975,False,100,50,15,0.85,2210.8624803400003
0.024591014,1101.0496,False,100,50,15,0.85,2210.8624803400003
0.85,1836.9552,False,100,50,15,0.85,2210.8624803400003
0.7622726,2444.581,False,100,50,15,0.85,2210.8624803400003
0.019770574,707.43414,False,100,50,15,0.85,2210.8624803400003
0.0,298.5871,False,100,50,15,0.85,2210.8624803400003
0.0,126.136536,False,100,50,15,0.85,2210.8624803400003
0.0,388.17462,False,100,50,15,0.85,2210.8624803400003
0.0,1754.4049,False,100,50,15,0.85,2210.8624803400003
0.6056616,695.26697,False,100,50,15,0.85,2210.8624803400003
0.05300337,1853.4705,False,100,50,15,0.85,2210.8624803400003
0.0,334.73965,False,100,50,15,0.85,2210.8624803400003
0.85,2194.7505,False,100,50,15,0.85,2210.8624803400003
0.85,2361.3508,False,100,50,15,0.85,2210.8624803400003
0.6366133,1382.3834,False,100,50,15,0.85,2210.8624803400003
0.85,2357.4243,False,100,50,15,0.85,2210.8624803400003
0.85,1435.7968,False,100,50,15,0.85,2210.8624803400003
0.0,44.512722,False,100,50,15,0.85,2210.8624803400003
0.85,924.0239,False,100,50,15,0.85,2210.8624803400003
0.85,2474.4248,False,100,50,15,0.85,2210.8624803400003
0.0,320.87787,False,100,50,15,0.85,2210.8624803400003
0.0,474.22763,False,100,50,15,0.85,2210.8624803400003
0.0,889.40326,False,100,50,15,0.85,2210.8624803400003
0.0,293.46045,False,100,50,15,0.85,2210.8624803400003
0.85,1123.9664,False,100,50,15,0.85,2210.8624803400003
0.0,1162.4218,False,100,50,15,0.85,2210.8624803400003
0.77836984,1509.3961,False,100,50,15,0.85,2210.8624803400003
0.6403914,1808.9467,False,100,50,15,0.85,2210.8624803400003
0.77374285,906.87537,False,100,50,15,0.85,2210.8624803400003
9.2900736e-15,633.23914,False,100,50,15,0.85,2210.8624803400003
0.6015229,862.498,False,100,50,15,0.85,2210.8624803400003
0.85,1559.1714,False,100,50,15,0.85,2210.8624803400003
0.009323949,840.5679,False,100,50,15,0.85,2210.8624803400003
0.85,1464.4694,False,100,50,15,0.85,2210.8624803400003
0.37212268,746.9574,False,100,50,15,0.85,2210.8624803400003
0.0,117.57823,False,100,50,15,0.85,2210.8624803400003
2.9783627e-14,173.78386,False,100,50,15,0.85,2210.8624803400003
0.85,1190.6287,False,100,50,15,0.85,2210.8624803400003
0.85,1519.6552,False,100,50,15,0.85,2210.8624803400003
0.85,1075.1195,False,100,50,15,0.85,2210.8624803400003
0.85,901.86426,False,100,50,15,0.85,2210.8624803400003
0.0,357.28632,False,100,50,15,0.85,2210.8624803400003
0.85,1813.4443,False,100,50,15,0.85,2210.8624803400003
0.44997102,772.7778,False,100,50,15,0.85,2210.8624803400003
0.0,173.44398,False,100,50,15,0.85,2210.8624803400003
0.85,891.5711,False,100,50,15,0.85,2210.8624803400003
0.52483493,1902.44,False,100,50,15,0.85,2210.8624803400003
0.4589648,1168.83,False,100,50,15,0.85,2210.8624803400003
0.76425505,780.36334,False,100,50,15,0.85,2210.8624803400003
0.85,2100.6873,False,100,50,15,0.85,2210.8624803400003
0.0,666.4371,False,100,50,15,0.85,2210.8624803400003
0.85,1845.7755,False,100,50,15,0.85,2210.8624803400003
3.3239318e-14,895.14606,False,100,50,15,0.85,2210.8624803400003
0.85,2403.1287,False,100,50,15,0.85,2210.8624803400003
0.59180087,1392.4094,False,100,50,15,0.85,2210.8624803400003
5.999147e-13,1163.7296,False,100,50,15,0.85,2210.8624803400003
0.0,596.5036,False,100,50,15,0.85,2210.8624803400003
0.0,188.30608,False,100,50,15,0.85,2210.8624803400003
1.7260298e-13,984.4954,False,100,50,15,0.85,2210.8624803400003
0.0,415.20615,False,100,50,15,0.85,2210.8624803400003
5.0408256e-13,1407.9121,False,100,50,15,0.85,2210.8624803400003
0.0,1591.0135,False,100,50,15,0.85,2210.8624803400003
0.85,2066.9524,False,100,50,15,0.85,2210.8624803400003
0.85,2423.7422,False,100,50,15,0.85,2210.8624803400003
0.43477142,971.17914,False,100,50,15,0.85,2210.8624803400003
0.0,653.1305,False,100,50,15,0.85,2210.8624803400003
0.0,58.829468,False,100,50,15,0.85,2210.8624803400003
0.0,484.8608,False,100,50,15,0.85,2210.8624803400003
0.0,1762.0793,False,100,50,15,0.85,2210.8624803400003
0.0,725.3603,False,100,50,15,0.85,2210.8624803400003
0.0,1464.5396,False,100,50,15,0.85,2210.8624803400003
0.0,1091.5503,False,100,50,15,0.85,2210.8624803400003
0.85,2416.706,False,100,50,15,0.85,2210.8624803400003
0.0,1353.1631,False,100,50,15,0.85,2210.8624803400003
0.0,815.2753,False,100,50,15,0.85,2210.8624803400003
0.0,1268.8247,False,100,50,15,0.85,2210.8624803400003
0.0,678.3857,False,100,50,15,0.85,2210.8624803400003
