cost,production,is_pareto,n_batch,n_start,n_candidates,init_cost,init_production
3045.9004,0.00095294777,False,100,50,15,2210.8624803400003,0.021073837077251217
2313.3335,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
3331.1848,0.007966058,False,100,50,15,2210.8624803400003,0.021073837077251217
1487.4528,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1817.4423,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2108.3374,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2057.675,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2034.8373,0.016041249,False,100,50,15,2210.8624803400003,0.021073837077251217
1993.5557,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2082.4736,0.00844438,False,100,50,15,2210.8624803400003,0.021073837077251217
1552.4962,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1835.4971,0.01136279,False,100,50,15,2210.8624803400003,0.021073837077251217
2096.1663,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2449.5344,0.008942668,False,100,50,15,2210.8624803400003,0.021073837077251217
1572.648,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1949.7262,0.017892336,False,100,50,15,2210.8624803400003,0.021073837077251217
1504.2037,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2632.0095,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2507.313,0.009920427,False,100,50,15,2210.8624803400003,0.021073837077251217
2004.7888,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2308.821,0.0010424951,False,100,50,15,2210.8624803400003,0.021073837077251217
2925.4563,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2308.4849,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2191.536,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2085.3064,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1572.4478,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1427.2041,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2262.148,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2921.1846,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1914.8467,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1537.1149,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1768.1993,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1758.6277,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2725.8545,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1532.8888,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2064.4734,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2624.2185,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2165.497,0.0051209964,False,100,50,15,2210.8624803400003,0.021073837077251217
2908.4824,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2231.2646,0.0060641784,False,100,50,15,2210.8624803400003,0.021073837077251217
2038.2782,0.013190933,False,100,50,15,2210.8624803400003,0.021073837077251217
2467.5913,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1845.6854,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2902.621,0.008055014,False,100,50,15,2210.8624803400003,0.021073837077251217
1719.7413,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
3281.127,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1697.1896,0.018079454,False,100,50,15,2210.8624803400003,0.021073837077251217
2215.2942,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2532.3896,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2916.2307,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
941.55255,0.020175237,False,100,50,15,2210.8624803400003,0.021073837077251217
339.04172,0.006133145,False,100,50,15,2210.8624803400003,0.021073837077251217
322.40317,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
635.6131,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
3078.8398,0.020950815,False,100,50,15,2210.8624803400003,0.021073837077251217
3303.3215,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
786.08386,0.010559394,False,100,50,15,2210.8624803400003,0.021073837077251217
2363.5574,0.00032954715,False,100,50,15,2210.8624803400003,0.021073837077251217
1669.2028,0.04852148,False,100,50,15,2210.8624803400003,0.021073837077251217
318.96436,0.0039927997,False,100,50,15,2210.8624803400003,0.021073837077251217
861.5509,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2821.905,0.020035591,False,100,50,15,2210.8624803400003,0.021073837077251217
2021.5299,0.015868373,False,100,50,15,2210.8624803400003,0.021073837077251217
207.04045,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
620.1251,0.007137063,False,100,50,15,2210.8624803400003,0.021073837077251217
514.2431,0.03633935,False,100,50,15,2210.8624803400003,0.021073837077251217
1050.2745,0.0058608507,False,100,50,15,2210.8624803400003,0.021073837077251217
1462.9115,0.015798429,False,100,50,15,2210.8624803400003,0.021073837077251217
610.62006,0.039358042,False,100,50,15,2210.8624803400003,0.021073837077251217
2168.9238,0.010084992,False,100,50,15,2210.8624803400003,0.021073837077251217
3342.2617,0.017790182,False,100,50,15,2210.8624803400003,0.021073837077251217
3096.9573,0.015584363,False,100,50,15,2210.8624803400003,0.021073837077251217
2394.4285,0.013513494,False,100,50,15,2210.8624803400003,0.021073837077251217
781.3759,0.043733124,False,100,50,15,2210.8624803400003,0.021073837077251217
1531.9606,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
600.66705,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1186.5581,0.012938788,False,100,50,15,2210.8624803400003,0.021073837077251217
1163.4102,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
910.3605,0.0148934405,False,100,50,15,2210.8624803400003,0.021073837077251217
239.39528,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
142.5167,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
874.5743,0.04817383,False,100,50,15,2210.8624803400003,0.021073837077251217
397.73618,0.008351249,False,100,50,15,2210.8624803400003,0.021073837077251217
2739.223,0.017615013,False,100,50,15,2210.8624803400003,0.021073837077251217
1619.8954,0.009461573,False,100,50,15,2210.8624803400003,0.021073837077251217
1697.6694,0.021956075,False,100,50,15,2210.8624803400003,0.021073837077251217
1800.8635,0.01012411,False,100,50,15,2210.8624803400003,0.021073837077251217
856.77,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1548.0114,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2484.9492,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
575.55994,0.047771018,False,100,50,15,2210.8624803400003,0.021073837077251217
96.171074,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
1597.3002,0.012264252,False,100,50,15,2210.8624803400003,0.021073837077251217
712.9519,0.048027426,False,100,50,15,2210.8624803400003,0.021073837077251217
658.7437,0.044384096,False,100,50,15,2210.8624803400003,0.021073837077251217
448.17026,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
2148.5017,0.009722355,False,100,50,15,2210.8624803400003,0.021073837077251217
2653.7532,0.018309658,False,100,50,15,2210.8624803400003,0.021073837077251217
1096.668,0.0,False,100,50,15,2210.8624803400003,0.021073837077251217
