growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.85,2020.3884,0.019052207,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2356.2097,0.020386841,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2276.5408,0.021904018,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2715.6597,0.022100167,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1896.9407,0.018424787,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2107.359,0.020408824,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2311.815,0.022284843,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2276.205,0.021648226,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2010.7836,0.019641558,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2581.8596,0.023014395,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2880.455,0.024142986,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2197.1216,0.020402592,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2715.6687,0.02283411,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2417.0022,0.020911144,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2325.6243,0.020395804,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2456.5637,0.021781737,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2070.5627,0.019657314,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,3057.918,0.024272092,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2117.3594,0.019670906,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2424.2896,0.021401057,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2946.566,0.023533136,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2718.5107,0.025347358,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2054.609,0.017496308,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2329.2986,0.02186395,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2875.1987,0.024721347,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1706.3662,0.015390592,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2205.2095,0.021578709,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2100.596,0.020635642,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2257.8064,0.021682737,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2770.1375,0.024107385,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2186.2874,0.020586768,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,3013.4773,0.024482638,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,1898.4723,0.018573025,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,2123.9968,0.019721553,100,50,15,0.85,2210.8624803400003,0.021073837077251217
0.85,3197.18,0.025508892,100,50,15,0.85,2210.8624803400003,0.021073837077251217
